ref_yyyymm;mes_referencia;survey_date_previsao;ipca_focus_med_mensal_pct;ipca_ibge_mensal_pct;erro_prev_menos_real_pp;n_edicoes_focus_boletim
202401;2024-01;2024-01-29;0,37;0,42;-0,0499999999999999;5
202402;2024-02;2024-02-26;0,75;0,83;-0,0799999999999999;4
202403;2024-03;2024-03-25;0,2;0,16;0,04;4
202404;2024-04;2024-04-29;0,32;0,38;-0,06;5
202405;2024-05;2024-05-27;0,4095;0,46;-0,0505;4
202406;2024-06;2024-06-24;0,34;0,21;0,13;4
202407;2024-07;2024-07-29;0,33;0,38;-0,0499999999999999;5
202408;2024-08;2024-08-26;0,02;-0,02;0,04;4
202409;2024-09;2024-09-30;0,46;0,44;0,02;5
202410;2024-10;2024-10-28;0,52;0,56;-0,04;4
202411;2024-11;2024-11-25;0,24;0,39;-0,15;4
202412;2024-12;2024-12-30;0,534;0,52;0,014;5
